first/last,UBR,URF,UFL,FLU,FUR,FRD,FDL,DLF,DFR,DRB,DLB,RUB,RBD,RDF,RUF,LDB,LUF,LFD,BLD,BDR,BRU
UBR,,"[l' : [U , R' D2 R]]","[R D U : [U, R D' R']]","[x: [U R' U', L]] executed as F R' F' r U R U' r'","[x : [R', U' L U]] executed as R' F' r U R U' r' F","[D : [U, R D R']]","[D' : [U, R D' R']]","[r' : [D R' D', L2]] executed as r' [D R' D'] r2 [U R U'] r'","[R' D R : [U, R D' R']]","[D' R' D R : [U, R D' R']]","[R' U' D' R : [D', R U' R']]",,"[U, R D R']","[U : [U, R' D' R]]","[U R : [R D R', U2]]","[U, R D' R']","[U R' : [U2, R' D' R]]","[U : [U, R' D R]]","[D' : [U, R D R']]","[D : [U, R D' R']]",
URF,"[l' : [R' D2 R, U]]",,"[R' D' U' : [R' D R, U']]","[l' D' U' : [R D R', U2]]",,"[D U : [R D R', U2]]","[D' U : [R D' R', U2]]","[R F' R' U : [R D R', U2]]","[D R D' R' : [U2, R' D R]]","[R D’ R’ : [U2, R’ D R]]","[R' D' U' R : [D, R U' R']]","[R' D' U' R' : [U', R' D R]]","[U : [R D R’, U2]]","[U2, R’ D’ R]",,"[U : [R D' R', U2]]","[F : [R' D' R, U2]]","[U2, R' D R]","[U D' : [R D R', U2]]","[D U : [R D' R', U2]]","[R' U' D : [R D R', U2]]"
UFL,"[R D U : [R D' R', U]]","[R' D' U' : [U', R' D R]]",,,"[l' U : [R D' R', U2]]","[U' D' : [U', R' D R]]","[U' D : [U', R' D' R]]","[D R' D U : [R D' R', U]]","[R' D U : [R D' R', U]]","[R U' D' : [U', R' D R]]","[D' R D' U' : [U', R' D R]]","[R U : [R D R', U]]","[U : [R D R', U]]","[U' : [U', R' D' R]]","[F, R B' R']","[U : [R D' R', U]]",,"[U' : [U', R' D R]]","[U D' : [R D R', U]]","[U D : [R D' R', U]]","[l U : [R' D R, U2]]"
FLU,"[x: [L, U R' U']] executed as r U R' U' r' F R F'","[l' D' U : [R D R', U2]]",,,"[L, U' R' U]","[U D R U : [D, R' U' R]]","[U' R' U' : [R U R', D]]","[U' D R' U' : [R U R', D']]","[U R2 U', L']","[l U' D : [R U R', D2]]","[U2 R U' : [D', R' U R]]","[U R U', L']","[U R U : [D, R' U' R]]","[z : [U, R' D R]]","[U' R' : [R' D' R, U']]","[U R U D' : [D, R' U' R]]",,"[U R U R' : [U, R' D R]]","[U D' R U : [D, R' U' R]]","[U R' U', L']","[l U D : [R' D' R, U2]]"
FUR,"[x : [U' L U, R']] executed as F' r U R' U' r' F R",,"[l' U' : [R D' R', U2]]","[U' R' U, L]",,"[D' R U : [U, R' D R]]","[R U D : [U, R' D' R]]","[U R' : [R' D R, U']]","[D' U R' : [R' D R, U']]","[R U D' : [U, R' D R]]","[U D R' : [R' D R, U']]","[R : [U, R D R']]","[R U : [U, R' D' R]]","[D' R U D : [U, R' D' R]]",,"[R : [U, R D' R']]","[U' R : [R D R', U2]]","[R U : [U, R' D R]]","[R D' : [U, R D R']]","[D R : [U, R D' R']]","[R B R' U D' : [R D R', U2]]"
FRD,"[D : [R D R', U]]","[D U' : [R D R', U2]]","[U' D' : [R' D R, U']]","[U D R U : [R' U' R, D]]","[D' R U : [R' D R, U]]",,"[R D : [U2, R' D' R]]","[U R' U D' : [R U' R', D2]]",,"[R U D : [R D R', U2]]","[D' R : [D, R U2 R']]","[R U : [R D R' , U2]]","[R U2 R', D']",,"[U' D' R' : [R' D R, U']]","[R U : [R D' R', U2]]","[U' D' R U : [R' D R, U2]]","[U' : [R U' R', D]]","[R U2 R', D2]","[D R D : [R' U R, D2]]","[D' R' : [R' D R, U2]]"
FDL,"[D' : [R D' R', U]]","[D : [R' D' R, U2]]","[D' U' : [R D' R', U2]]","[U' R' U' : [D, R U R']]","[R U D : [R' D' R, U]]","[R D : [R' D' R, U2]]",,,"[R' : [D2, R' U R]]","[D' R' : [D', R' U R]]","[D : [D R D', L2]] execute as rRUD: D [D R D'] r2 [U R' U'] r2 D'","[U D' R U' : [R' U R, D']]","[R D : [D, R' U R]]","[D : [D, R' U R]]","[R' D : [D, R' U R]]","[D2 : [R' U R, D]","[U' D' R : [R D' R', U2]]",,"[D' R D' : [R' U R, D2]]","[D2, R' U R]","[R' D : [R' D' R, U2]]"
DLF,"[r' : [L2, D R' D']] executed as r [U R' U'] r2' [D R D'] r","[R F' R' U' : [R D R', U2]]","[D R' D U : [U, R D' R']]","[U' D R' U' : [D', R U R']]","[U R' : [U', R' D R]]","[U R' U D' : [D2, R U' R']]",,,"[R U R' : [U', R' D R]]","[D' R U D R' : [U', R' D R]]","[D R U R' : [R' D R, U']]","[U R U', L2] execute as rRUD: [U R U'] r2 [D R' D'] r2","[U R' : [U, R' D R]]","[L2, D R D'] execute as rRUD: r2 [U R U'] r2 [D R' D']","[D R' : [R' U R, D]]","[D R' : [R' U R, D2]]","[U R' : [U2, R' D R]]",,"[U D' R' : [U, R' D2 R]]","[U R' U', L2] execute as [U R' U'] r2 [D R D'] r2","[D R' D U' : [R D' R', U2]]"
DFR,"[R' D R : [R D' R', U]]","[D R D' R' : [R' D R, U2]]","[R' D U : [U, R D' R']]","[L', U R2 U']","[D' U R' : [U', R' D R]]",,"[R' : [R' U R, D2]]","[R U R' : [R' D R, U']]",,"[D' R U R' : [U', R' D R]]","[R U D R' : [R' D R, U']]","[D R U : [D, R' U' R]]","[D R U D' : [R' U' R, D2]]",,"[R' : [R' U R, D]]","[R' : [R' U R, D']]","[U D' R' : [U2, R' D R]]","[R' D R U' : [R D' R', U2]]","[L, U R2 U']","[R' D : [R D' R', U]]","[R' D U' : [R D' R', U2]]"
DRB,"[D' R' D R : [R D' R', U]]","[R D' R' : [R' D R, U2]]","[R U' D' : [R' D R, U']]","[x : [D2, R U2 R']]","[R U D' : [R' D R, U]]","[R U' D : [R D R', U2]]","[D' R' : [R' U R, D']]","[D' R U D R' : [R' D R, U']]","[D' R U R' : [R' D R, U']]",,"[R U D R' : [R' D R, U]]","[R U : [D, R' U' R]]",,"[R U' D' R' : [R' D R, U']]","[R2 U : [R D R', U2]]","[R2 U : [R D' R', U2]]","[R U R' U : [R D R', U2]]","[R U D : [R' U' R, D]]","[R : [R U2 R', D2]]",,"[D' R' D U' : [R D' R', U2]]"
