,BU,RU,FU,LU,UF,RF,LF,RD,BD,LD,BR,DR,FR,UR,BL,UL,FL,DL,DB,RB,UB,LB
BU,,(U' M' U' M)2,"[U M U : [M, U2]]",(U M' U M)2,"[U : [R' F' R, S]]","[U : [U M' U', R]]","[U' : [U' M' U, L']]","[U' R' F' R : [S, R2]]","[M U M' U : [M', U2]]","[U L F L' : [S', L2]]","[R U : [R' F' R, S']]","[U : [R' F' R, S']]","[U' M' : [U, l E' l']]",[M : (U M U M')2],"[R' F' R : [R E' R', U]]",[M : (U' M U' M')2],"[U M' : [U', r' E r]]","[U' : [L F L', S]]","[U : [D2, M' U M]] executed as U [M U' M'] U2 [M' U M] U","[U : [U M' U', R']]",,"[U' : [U' M' U, L]]"
RU,(M' U M U)2,,"[R U' R' U, M']","[M U : [M, U2]]",[M u' : M' u2 M' u2],"[U M' U', R]","[U : [M', U L' U']]","[S' U : [M', U2]]","[U D : [S', R F R']]","[L F L' : [S', L2]]","[S' R' U : [M', U2]]","[R' F' R, S']","[L F L' U : [M', U2]]",,"[M' : [U', R E' R']]","[R' F' R, S]","[M' : [U', r' E r]]","[l' : [U', R' E R]]","[D2, M' U M] execute as [M U' M'] U2 [M' U M] U2","[U M' U', R']","[M : [R U' R' U, M2]]","[l U : [M, U2]]"
FU,"[U' M U : [M, U2]]","[M', R U' R' U]",,"[M', L' U L U']",,"[M', U' R U]","[M', U L' U']","[D' L F' : [E', L2]]","[D : [S', R F R']]","[D R' F : [E, R2]]","[D R D', M]","[U' : [R' F' R, S']]","[F' : [R U' R', E]]","[R' F' : [R U' R', E]]","[D' L' D, M]","[L F : [L' U L, E']]","[F : [L' U L, E']]","[U : [r U r', S]]","[U : [D2, M' U' M]] executed as U [M U M'] U2 [M' U' M] U","[M', U' R' U]","[U' : [R' F' R, S]]","[M', U L U']"
LU,(M' U' M U')2,"[M U' : [M, U2]]","[L' U L U', M']",,[M u : M' u2 M' u2],"[U' : [M', U' R U]]","[U' M' U, L']","[R' F' R : [S, R2]]","[U' D : [S', R F R']]","[S U' : [M', U2]]","[M' : [U, L' E L]]","[r : [U, L E' L']]","[M' : [U, l E' l']]","[r U r', S']","[S L U' : [M', U2]]",,"[R' F' R U' : [M', U2]]","[r U r', S]","[D2, M' U' M] executed as [M U M'] U2 [M' U' M] U2","[r' U' : [M, U2]]","[M : [L' U L U', M2]]","[U' M' U, L]"
UF,"[U : [S, R' F' R]]",[M u : M u2 M u2],,[M u' : M u2 M u2],,"[R2' F : [R2, E]]","[L2 F' : [L2, E']]","[R' F : [R2, E]]","[D' : [R F R', S']]","[L F' : [L2, E']]","[U D' L' : [E, L2]]","[D', M' U2 M]","[U D' L : [E', L2]]","[M U2 M, U]","[U' D R : [E', R2]]","[M U2 M, U']","[U' D R' : [E, R2]]","[D, M' U2 M]",M u2 M u2,"[F : [R2, E]]","[U2, M']","[F' : [L2, E']]"
RF,"[U : [R, U M' U']]","[R, U M' U']","[U' R U, M']","[U' : [U' R U, M']]","[R2' F : [E, R2]]",,"[x M2 U : [M, U2]]","[R : [U M' U', R]]","[D' R' D, M]","[M' U L : [E', L2]]","[F', R S' R']","[S' : [R, U M' U']]",,"[L F : [L' S' L, F]]","[r : [U', r E' r']]","[F', R S R']","[r U' r', E]","[F', R' S' R]","[R : [D2, M' U M]] execute as R [M U' M'] U2 [M' U M] U2 R'","[R : [U M' U', R2]]","[M : [U' R U, M2]]","[l' U L : [E', L2]]"
LF,"[U' : [L', U' M' U]]","[U : [U L' U', M']]","[U L' U', M']","[L', U' M' U]","[L2 F' : [E', L2]]","[x M2 U' : [M, U2]]",,"[M' U' R' : [E, R2]]","[D L D', M]","[L' : [U' M' U, L']]","[l' : [U, l' E l]]","[F, L S L']","[R' F R, E']","[F, L' S' L]","[R' F R, E]","[R' F' : [R S R', F']]",,"[S : [L', U' M' U]]","[L' : [D2, M' U' M]] executed as L' [M U M'] U2 [M' U' M] U2 L","[r U' R' : [E, R2]]","[M : [U L' U', M2]]","[L' : [U' M' U, L2]]"
RD,"[U' R' F' R' : [S, R2]]","[S' U' : [M', U2]]","[D' L F' : [L2, E']]","[R' F' R' : [S, R2]]","[R' F : [E, R2]]","[R : [R, U M' U']]","[M' U' R : [E, R2]]",,"[D' : [S, L' F L]]","[M' D : [M, D2]]","[R' f' R' : [S, R2]]",,"[S' : [U' M2 U, R]]","[R F' R', S]","[S' L U' : [M', U2]]","[U' R' F : [E, R2]]","[S' L' U' : [M', U2]]","[R F' R', S']",[S' u : M u2 M u2],"[R2 : [U M' U', R]]","[U : [R F' R', S]]","[R' F' : [E', R2]]"
BD,"[M U' M' U : [M', U2]]","[U D : [R F R', S']]","[D : [R F R', S']]","[U' D : [R F R', S']]","[D' : [S', R F R']]","[M, D' R' D]","[M, D L D']","[D' : [L' F L, S]]",,"[D : [R F' R', S']]","[M : [M, U R' U']]","[D' : [S', R F' R']]","[M : [M, U R U']]","[U D' : [S', R F R']]","[M : [M, U' L U]]","[U' D' : [S', R F R']]","[M : [M, U' L' U]]","[D : [S, L' F L]]",,"[M, D' R D]","[D' : [S', R' B' R]]","[M, D L' D']"
LD,"[U L F L : [S', L2]]","[L F L : [S', L2]]","[D R' F : [R2, E]]","[S U : [M', U2]]","[L F' : [E', L2]]","[M' U L' : [E', L2]]","[L' : [L', U' M' U]]","[M' D' : [M, D2]]","[D : [S', R F' R']]",,"[S R' U : [M', U2]]","[L' F L, S]","[S R U : [M, U2]]","[U L F' : [E', L2]]","[L f L : [S', L2]]","[L' F L, S']","[S : [U M2 U', L']]",,[S u' : M u2 M u2],"[L F : [E, L2]]","[U' : [L' F L, S']]","[L2 : [U' M' U, L']]"
BR,"[R U : [S', R' F' R]]","[U M' : [U R' U', M']]","[M' : [U R' U', M']]","[M' : [L' E L, U]]","[U D' L : [E, L2]]","[R S' R', F']","[l' : [l' E l, U]]","[R' f' R : [S, R2]]","[D R D', M']","[S R' U' : [M', U2]]",,"[R' : [U' M2 U, R']]","[R' : [U' M2 U, R2]]","[R', U' M2 U]","[R' D R : [E', R2]]","[D' L : [E, L2]]","[R' D R' : [E, R2]]","[M2 U' L' : [E, L2]]",[R' u : M u2 M u2],,"[U R' U', M2]","[R D R', E']"
